Player,Matches,Runs,Avg,SR,100,50,4,6
437,priyam sarvesh kumar,1,1,1.0,50.0,0,0,0,0
438,priyamal ray barman,1,19,19.0,79.16666666666666,0,0,2,0
439,priyank narhari mankad,5,97,19.4,134.72222222222223,0,1,13,2
440,priyank pankaj chopra,1,8,8.0,133.33333333333331,0,0,2,0
441,pusitha vijayabahu deshapriya chameera,7,43,6.142857142857143,153.57142857142858,0,0,3,3
442,quinton de kock,107,3160,29.53271028037383,134.52532992762877,2,25,316,123
443,rahmanullah gurbaz,13,289,22.23076923076923,134.4186046511628,0,2,24,19
444,rahul bawa,2,11,5.5,78.57142857142857,0,0,1,0
445,rahul deepak chahar,22,129,5.863636363636363,104.03225806451613,0,0,13,5
446,rahul kumar singh,40,893,22.325,144.7325769854133,0,4,67,46
447,rahul ninan,1,3,3.0,60.0,0,0,0,0
448,rahul ravindra,10,222,22.2,162.04379562043795,0,1,22,12
449,rahul sanjay yadav,1,0,0.0,0.0,0,0,0,0
450,rahul sharad dravid,82,2174,26.51219512195122,115.76144834930777,0,11,269,28
451,rahul sharma,19,66,3.473684210526316,88.0,0,0,5,3
452,rahul tewatia,65,1013,15.584615384615384,135.42780748663102,0,1,84,47
453,rahul tripathi,93,2236,24.043010752688172,139.92490613266582,0,12,223,84
454,raj kumar bhui,4,10,2.5,38.46153846153847,0,0,0,0
455,rajat bhatia,47,342,7.276595744680851,120.4225352112676,0,0,24,13
456,rajat gurunath more,1,2,2.0,100.0,0,0,0,0
457,rajat manohar patidar,24,799,33.291666666666664,159.1633466135458,1,8,51,54
458,rajat shukla,4,19,4.75,82.6086956521739,0,0,2,0
459,ramandeep singh,13,170,13.076923076923077,170.0,0,0,8,13
460,ramesh rajesh powar,9,67,7.444444444444445,104.6875,0,0,6,1
461,ramesh sunil gavaskar,1,2,2.0,25.0,0,0,0,0
462,ramnaresh ronnie sarwan,4,73,18.25,97.33333333333334,0,0,6,1
463,ranganath vinay kumar,42,310,7.380952380952381,113.13868613138686,0,0,21,9
464,rashid khan,58,545,9.39655172413793,164.6525679758308,0,1,39,38
465,rasikh salam,6,40,6.666666666666667,100.0,0,0,5,0
466,ravi ashwin,16,130,8.125,104.83870967741935,0,0,11,3
467,ravi bishnoi,17,51,3.0,76.11940298507463,0,0,3,2
468,ravi rampaul,7,51,7.285714285714286,104.08163265306123,0,0,3,2
469,ravi shankar bopara,22,531,24.136363636363637,117.21854304635761,0,3,39,16
470,ravichandran ashwin,90,804,8.933333333333334,118.93491124260356,0,1,62,28
471,ravindrasinh anirudhsinh jadeja,180,2959,16.43888888888889,130.5249228054698,0,3,215,107
472,ravisrinivasan sai kishore,25,283,11.32,119.91525423728812,0,0,22,8
473,reece john william topley,1,3,3.0,50.0,0,0,0,0
474,richard james gleeson,1,2,2.0,100.0,0,0,0,0
