Player,Matches,Overs,Runs,Wickets,Econ,SR,Bowling avg
k khejroliya,7,20.0,207,5.0,10.35,24.6,44.2
k santokie,2,8.0,87,3.0,10.875,16.0,30.33333333333333
kagiso rabada,80,304.0,2470,126.0,8.125,14.642857142857142,21.047619047619047
kamlesh nagarkoti,11,30.0,280,5.0,9.333333333333334,36.0,57.4
kamran khan,9,27.0,227,14.0,8.407407407407407,11.928571428571429,17.714285714285715
kane kevin richard cooper,25,96.0,725,36.0,7.552083333333333,16.0,21.916666666666668
kane stuart williamson,2,3.0,31,,10.333333333333334,,
kane william richardson,15,55.0,458,21.0,8.327272727272728,15.952380952380953,22.80952380952381
karan goel,6,11.0,92,,8.363636363636363,,
karanveer singh,9,34.0,312,14.0,9.176470588235292,14.571428571428571,23.071428571428573
karn sharma cariappa,11,36.0,334,8.0,9.27777777777778,27.75,43.625
kartik tyagi,20,70.0,662,16.0,9.457142857142856,27.1875,45.0
kasun madushanka,5,17.0,115,6.0,6.764705882352941,17.0,20.33333333333333
keemo paul,8,27.0,202,10.0,7.481481481481482,17.7,23.9
kemar andre jamal roach,2,8.0,76,,9.5,,
keshav maharaj,2,6.0,39,2.0,6.5,18.0,19.5
kevin peter pietersen,13,29.0,205,9.0,7.068965517241379,19.33333333333333,24.22222222222222
kh pandya,117,353.0,2516,80.0,7.127478753541077,26.6125,33.05
khaleel ahmed asif,7,22.0,218,7.0,9.909090909090908,19.285714285714285,33.142857142857146
khalid ahmed,57,212.0,1802,78.0,8.5,16.435897435897434,24.58974358974359
kieron adrian pollard,107,248.0,2075,81.0,8.366935483870968,18.395061728395063,27.160493827160494
krishnamachari srikkanth,12,40.0,364,14.0,9.1,17.785714285714285,28.285714285714285
krishnappa gowtham,48,134.0,1075,33.0,8.022388059701493,24.363636363636363,33.81818181818182
kt maphaka,2,6.0,86,1.0,14.333333333333334,36.0,90.0
kuldeep upadhyay,3,9.0,79,,8.777777777777779,,
kuldeep yadav,85,300.0,2423,92.0,8.076666666666666,19.565217391304348,27.15217391304348
kumar kartikeya,12,39.0,321,10.0,8.23076923076923,23.4,33.4
kv sharma,82,249.0,2062,82.0,8.281124497991968,18.23170731707317,25.97560975609756
kyle jamieson,9,28.0,252,9.0,9.0,19.33333333333333,30.11111111111111
kyle jarvis abbott,5,16.0,169,2.0,10.5625,48.5,91.0
kyle mayers,6,7.0,53,,7.571428571428571,,
l ngidi,14,54.0,418,28.0,7.74074074074074,12.0,16.428571428571427
lachlan carseldine,1,1.0,5,1.0,5.0,6.0,6.0
lakshmipathy balaji,73,252.0,1943,85.0,7.71031746031746,17.894117647058824,24.50588235294118
lalit yadav,19,48.0,413,11.0,8.604166666666666,26.727272727272727,39.09090909090909
laxmi ratan shukla,27,52.0,427,17.0,8.211538461538462,18.58823529411765,26.94117647058824
lendl mark plunkett,9,31.0,282,5.0,9.096774193548388,37.4,60.4
lendl mark plunkett simmons,1,3.0,34,1.0,11.333333333333334,18.0,34.0
lh ferguson,45,159.0,1361,57.0,8.559748427672956,17.07017543859649,25.45614035087719
li meriwala,1,3.0,27,1.0,9.0,22.0,32.0
liam scott livingstone,22,43.0,384,11.0,8.930232558139535,23.454545454545453,35.90909090909091
liam wood,2,6.0,91,1.0,15.166666666666666,36.0,94.0
lindamlilage prageeth chamara silva,1,1.0,21,,21.0,,
luke ablish,3,7.0,72,5.0,10.285714285714286,8.4,15.2
luke james wright,6,11.0,120,2.0,10.909090909090908,35.5,62.5
luteru ross poutoa lote taylor,2,2.0,23,,11.5,,
m pathirana,20,75.0,524,38.0,6.986666666666666,11.86842105263158,16.236842105263158
m siddharth,3,9.0,62,1.0,6.888888888888889,59.0,72.0
ma starc,39,138.0,1068,59.0,7.739130434782608,14.11864406779661,19.91525423728813
maheesh theekshana,27,104.0,789,25.0,7.586538461538462,24.96,32.56
mahipal lomror,11,15.0,123,2.0,8.2,45.0,63.5
makhaya ntini,9,35.0,237,8.0,6.771428571428571,26.375,32.125
mandeep singh,2,2.0,26,,13.0,,
mangal anil khote,2,5.0,51,2.0,10.2,15.0,26.0
manoj kumar tiwary,6,7.0,78,1.0,11.142857142857142,42.0,83.0
manpreet singh gony,44,148.0,1248,39.0,8.432432432432432,22.82051282051282,33.76923076923077
marchant de lange,5,18.0,156,6.0,8.666666666666666,18.166666666666668,28.5
marco jansen,21,75.0,647,22.0,8.626666666666667,21.318181818181817,33.27272727272727
marcus peter stoinis,62,133.0,1234,45.0,9.278195488721805,17.977777777777778,28.88888888888889
mark andrew wood,5,20.0,172,11.0,8.6,10.909090909090908,17.454545454545453
marlon nathaniel samuels,11,35.0,278,10.0,7.942857142857143,21.4,28.5
mashrafe bin mortaza,1,4.0,50,1.0,12.5,28.0,59.0
mayank dagar,8,22.0,198,2.0,9.0,68.5,102.5
mayank markande,37,120.0,1050,37.0,8.75,19.486486486486488,29.216216216216218
mb parmar,1,3.0,32,,10.666666666666666,,
mg neser,1,4.0,59,,14.75,,
michael craig henriques,60,158.0,1255,46.0,7.943037974683544,20.67391304347826,28.30434782608696
michael graham bracewell,5,11.0,95,6.0,8.636363636363637,11.0,15.833333333333334
