Player,Matches,Overs,Runs,Wickets,Econ,SR,Bowling avg
yaseen abdulla,11,34.0,290,15.0,8.529411764705882,14.2,20.73333333333333
yash dayal,28,96.0,875,31.0,9.114583333333334,18.741935483870968,30.096774193548388
yash thakur,19,67.0,661,27.0,9.865671641791044,15.037037037037036,26.0
yashasvi prithvi raj,3,5.0,60,1.0,12.0,31.0,63.0
yashpal singh,8,11.0,115,4.0,10.454545454545457,17.0,31.25
yudhvir singh,5,12.0,116,4.0,9.666666666666666,18.0,31.25
yusuf khan pathan,82,191.0,1372,46.0,7.183246073298429,24.93478260869565,31.369565217391305
yuvraj singh,73,144.0,1064,39.0,7.388888888888889,22.28205128205128,27.97435897435897
yuzvendra singh chahal,159,586.0,4465,213.0,7.6194539249146755,16.591549295774648,21.976525821596244
zaheer khan,99,366.0,2691,119.0,7.352459016393443,18.48739495798319,24.03361344537815
